dataset,path,bpp,msssim_torch,msssim_iqa,psnr,vif,fsim,nlpd,iw-ssim,vmaf,psnr_hvs
coco,/nas/public/exchange/JPEG-AI/data/TEST/coco/original/000000227478.png,0.25,0.9549302458763123,0.9548379778862,24.53067777239277,57.53797712887996,63.24494853928815,0.33498531579971313,0.8685047030448914,0.2913597822189331,0.9494141936302185
coco,/nas/public/exchange/JPEG-AI/data/TEST/coco/original/000000227478.png,0.75,0.987895131111145,0.9878783226013184,28.508015622049108,57.81499437238257,64.43745289328946,0.48717013001441956,0.9394148588180542,0.17215725779533386,0.9857147336006165
coco,/nas/public/exchange/JPEG-AI/data/TEST/coco/original/000000227478.png,1.0,0.991122305393219,0.9911064505577087,29.21600031519845,59.00734008778299,61.43701526488896,0.5158724784851074,0.9483575224876404,0.1536712795495987,0.9891875386238098
coco,/nas/public/exchange/JPEG-AI/data/TEST/coco/original/000000227478.png,2.0,0.9972219467163086,0.9972169995307922,33.37828335470738,59.01636808620998,67.1417923541477,0.6579364538192749,0.984853982925415,0.09348901361227036,0.9964804649353027
coco,/nas/public/exchange/JPEG-AI/data/TEST/coco/original/000000097988.png,0.12,0.9324261546134949,0.9320352673530579,22.919424392945146,28.533642683690115,30.26695265895082,0.29110902547836304,0.8101294636726379,0.3557889461517334,0.9174153208732605
coco,/nas/public/exchange/JPEG-AI/data/TEST/coco/original/000000097988.png,0.25,0.9620072245597839,0.9618657231330872,24.947264322653353,29.760065421520824,31.70735573514203,0.37964409589767456,0.8403862714767456,0.2693398594856262,0.9567493796348572
coco,/nas/public/exchange/JPEG-AI/data/TEST/coco/original/000000097988.png,0.75,0.9903638362884521,0.9903405904769897,29.297338488073965,31.971504655640217,34.139600890530296,0.542722225189209,0.9346675872802734,0.15371091663837433,0.988619863986969
coco,/nas/public/exchange/JPEG-AI/data/TEST/coco/original/000000097988.png,1.0,0.992857038974762,0.9928380846977234,30.13327821642985,32.29243920511957,34.62682316732172,0.5727872252464294,0.943597137928009,0.13622049987316132,0.991267740726471
coco,/nas/public/exchange/JPEG-AI/data/TEST/coco/original/000000097988.png,2.0,0.9979014992713928,0.9978969097137451,34.719080090835064,34.974269300181405,38.81605857912866,0.7111847996711731,0.9838147759437561,0.07952456176280975,0.9972599744796753
celeba,/nas/public/exchange/JPEG-AI/data/TEST/celeba/original/0943.png,0.12,0.9862797260284424,0.9862444400787354,33.76537040739629,37.55237952123209,36.974745441525236,0.5994405150413513,0.9454465508460999,0.14393697679042816,0.9722532033920288
celeba,/nas/public/exchange/JPEG-AI/data/TEST/celeba/original/0943.png,0.25,0.995398998260498,0.9953888058662415,37.87793162543008,39.72223169350828,40.1374856533878,0.7382708191871643,0.9706966280937195,0.08590371906757355,0.9911191463470459
